waktu,brand,retail,production,sale
2018-09-01,DAIHATSU,16190,17041,15939
2018-09-01,HONDA,11424,12382,10613
2018-09-01,MITSUBISHI,16872,19608,29496
2018-09-01,SUZUKI,9211,10190,8062
2018-09-01,TOYOTA,28304,44441,25794
2018-10-01,DAIHATSU,16265,21029,19302
2018-10-01,HONDA,11940,15986,15155
2018-10-01,MITSUBISHI,16894,20761,28028
2018-10-01,SUZUKI,9766,10596,7835
2018-10-01,TOYOTA,28622,53260,31441
2018-11-01,DAIHATSU,17585,17601,16646
2018-11-01,HONDA,13189,15076,15632
2018-11-01,MITSUBISHI,17273,20131,25238
2018-11-01,SUZUKI,9140,8083,9565
2018-11-01,TOYOTA,30533,47568,26196
2018-12-01,DAIHATSU,21612,16198,15254
2018-12-01,HONDA,15954,10820,13012
2018-12-01,MITSUBISHI,15545,15308,21810
2018-12-01,SUZUKI,10107,8261,8076
2018-12-01,TOYOTA,35107,40028,22194
2019-01-01,DAIHATSU,16274,14670,14769
2019-01-01,HONDA,12190,10842,10064
2019-01-01,MITSUBISHI,15543,24067,16383
2019-01-01,SUZUKI,9244,7399,8271
2019-01-01,TOYOTA,25248,40834,25081
2019-02-01,DAIHATSU,15145,16158,16305
2019-02-01,HONDA,12828,9207,10637
2019-02-01,MITSUBISHI,14314,20354,14620
2019-02-01,SUZUKI,7002,5210,8307
2019-02-01,TOYOTA,23226,35370,23443
2019-03-01,DAIHATSU,16071,19451,19625
2019-03-01,HONDA,15179,10188,8144
2019-03-01,MITSUBISHI,14559,20989,16121
2019-03-01,SUZUKI,7321,13114,6291
2019-03-01,TOYOTA,27608,41806,28732
2019-04-01,DAIHATSU,13216,15943,16126
2019-04-01,HONDA,10260,9245,11631
2019-04-01,MITSUBISHI,13674,18996,10076
2019-04-01,SUZUKI,8145,9002,7677
2019-04-01,TOYOTA,26611,44078,29408
2019-05-01,DAIHATSU,17486,13967,14178
2019-05-01,HONDA,12486,10282,11048
2019-05-01,MITSUBISHI,12626,18034,11761
2019-05-01,SUZUKI,9633,8723,8775
2019-05-01,TOYOTA,31871,45406,29103
2019-06-01,DAIHATSU,9834,5921,6020
2019-06-01,HONDA,8596,7421,7563
2019-06-01,MITSUBISHI,10863,13894,11968
2019-06-01,SUZUKI,6730,6414,7236
2019-06-01,TOYOTA,22123,30351,18541
2019-07-01,DAIHATSU,12805,12773,13013
2019-07-01,HONDA,12702,12632,13894
2019-07-01,MITSUBISHI,14152,23551,14600
2019-07-01,SUZUKI,9307,12722,8172
2019-07-01,TOYOTA,28179,49919,29362
2019-08-01,DAIHATSU,13696,15246,15415
2019-08-01,HONDA,13127,11939,11909
2019-08-01,MITSUBISHI,13730,22194,14240
2019-08-01,SUZUKI,9114,12159,8622
2019-08-01,TOYOTA,28022,50024,28929
2019-09-01,DAIHATSU,13112,17377,17537
2019-09-01,HONDA,12323,12065,12431
2019-09-01,MITSUBISHI,11943,21747,12712
2019-09-01,SUZUKI,8326,12651,8118
2019-09-01,TOYOTA,26529,48273,31831
2019-10-01,DAIHATSU,15578,17391,17530
2019-10-01,HONDA,12375,14132,14503
2019-10-01,MITSUBISHI,13363,20847,13983
2019-10-01,SUZUKI,8501,12626,8721
2019-10-01,TOYOTA,28495,48412,30944
2019-11-01,DAIHATSU,16214,15737,15911
2019-11-01,HONDA,13010,12967,13210
2019-11-01,MITSUBISHI,13862,19095,11974
2019-11-01,SUZUKI,9141,12200,10077
2019-11-01,TOYOTA,29672,42761,28970
2019-12-01,DAIHATSU,18157,10855,10855
2019-12-01,HONDA,14363,12327,12305
2019-12-01,MITSUBISHI,12042,14151,13327
2019-12-01,SUZUKI,10401,12438,10116
2019-12-01,TOYOTA,33420,39360,27453
2020-01-01,DAIHATSU,14582,14162,14173
2020-01-01,HONDA,12603,12902,12777
2020-01-01,MITSUBISHI,11409,20890,12295
2020-01-01,SUZUKI,10120,14361,10512
2020-01-01,TOYOTA,24928,41261,24119
2020-02-01,DAIHATSU,13658,15699,15778
2020-02-01,HONDA,11918,12309,11373
